transaction_id,order_date,customer_id,product_id,product_name,category,subcategory,brand,original_price_inr,discount_percent,discounted_price_inr,quantity,subtotal_inr,delivery_charges,final_amount_inr,customer_city,customer_state,customer_tier,customer_spending_tier,customer_age_group,payment_method,delivery_days,delivery_type,is_prime_member,is_festival_sale,festival_name,customer_rating,return_status,order_month,order_year,order_quarter,product_weight_kg,is_prime_eligible,product_rating
TXN_2015_00000001,2015-01-25,CUST_2015_00003884,PROD_000021,Samsung Galaxy S6 16GB Black,Electronics,Smartphones,Samsung,123614.29,27.91,89112.17,1,89112.17,0.0,89112.17,Mumbai,Maharashtra,Metro,Premium,46-55,COD,6,Standard,No,True,Republic Day Sale,5.0,Delivered,1,2015,1,0.19,True,4.7
TXN_2015_00000002,2015-01-05,CUST_2015_00011709,PROD_000055,OnePlus OnePlus 2 16GB White,Electronics,Smartphones,OnePlus,54731.86,0.0,54731.86,1,54731.86,0.0,54731.86,Allahabad,Uttar Pradesh,Rural,Standard,26-35,COD,4,Standard,False,False,,4.5,Delivered,1,2015,1,0.2,True,4.1
TXN_2015_00000003,2015-01-24,CUST_2015_00004782,PROD_000039,Samsung Galaxy Note 5 64GB Black,Electronics,Smartphones,Samsung,97644.25,46.93,51818.26,2,103636.52,,103636.52,Mumbai,Maharashtra,Metro,Premium,26-35,COD,4,Standard,False,True,Republic Day Sale,,Delivered,1,2015,1,0.17,True,3.3
TXN_2015_00000004,2015-01-28,CUST_2015_00008105,PROD_000085,Motorola Moto G (3rd Gen) 16GB Black,Electronics,Smartphones,Motorola,"21,947.26",0.0,21947.26,1,21947.26,0.0,21947.26,Kolkata,West Bengal,Metro,Budget,36-45,COD,4,Standard,False,False,,3.0,Delivered,1,2015,1,0.22,True,3.5
TXN_2015_00000005,2015-01-31,CUST_2015_00002955,PROD_000055,OnePlus OnePlus 2 16GB White,Electronics,Smartphones,OnePlus,54731.86,0.0,54731.86,2,109463.72,0.0,109463.72,Ludhiana,Punjab,Tier2,Standard,18-25,COD,3,Standard,False,FALSE,,4.0,Delivered,1,2015,1,0.2,True,4.1
TXN_2015_00000006,2015-01-04,CUST_2015_00006757,PROD_001665,Alienware MacBook 4GB RAM Black,Electronics,Laptops,Alienware,131194.65,0.0,131194.65,1,131194.65,0.0,131194.65,Delhi,Delhi,Metro,Standard,18-25,Debit Card,3,Standard,False,False,,4.5,Delivered,1,2015,1,1.39,No,3.6
TXN_2015_00000007,2015-01-27,CUST_2015_00008012,PROD_000031,Samsung Galaxy S6 Edge 64GB Black,Electronics,Smartphones,Samsung,86987.64,0.0,86987.64,1,86987.64,0.0,86987.64,Lucknow,Uttar Pradesh,Tier1,Premium,46-55,Credit Card,4,Standard,False,False,,3.5,Delivered,1,2015,1,0.16,False,3.7
TXN_2015_00000008,2015-01-08,CUST_2015_00011809,PROD_000048,Samsung Galaxy J7 16GB White,Electronics,Smartphones,Samsung,32169.01,0.0,32169.01,1,32169.01,0.0,32169.01,Jaipur,Rajasthan,Tier1,Standard,26-35,COD,3,Standard,False,False,,4.0,Returned,1,2015,1,0.19,False,4.6
TXN_2015_00000009,2015-01-18,CUST_2015_00006429,PROD_000082,Xiaomi Redmi Note 4G 32GB White,Electronics,Smartphones,Xiaomi,40264.16,0.0,40264.16,2,80528.32,,80528.32,Delhi,Delhi,Metro,Standard,36-45,COD,3,Standard,False,False,,5.0,Delivered,1,2015,1,0.22,True,3.4
TXN_2015_00000010,2015-01-03,CUST_2015_00001829,PROD_000055,OnePlus OnePlus 2 16GB White,Electronics,Smartphones,OnePlus,54731.86,0.0,54731.86,1,54731.86,0.0,54731.86,Bhubaneswar,Odisha,Tier2,Budget,,COD,5,Standard,False,False,,4.5,Returned,1,2015,1,0.2,True,4.1
